好像有點醜欸,8
我笑到肚子痛,2
優秀,5
這哪招,8
夢一場,1
好喔,8
看不懂,8
在幹嘛,8
那就是人的問題囉,8
投資詐騙廣告,8
聽起來怎麼像詐騙,8
麻煩錢來口袋,2
我信你個鬼,4
又割了一波韭菜,8
應該要一波衝吧,5
好難,6
7777777,5
不有趣,8
當沒看到,4
心態炸列,8
眼睛不行了,8
相信,6
 今天非常開心,2
確實,6
不行,7
可以,6
看不懂你在縮什麼,8
所以,3
台灣就那麼小 一日生活圈 擴散很快 加上一堆北七都被洗腦 確診是輕症 也沒人在注意了,8
為什麼他要一直預言,8
只是某指揮官好像做不到,8
問到突破欸,3
每天五萬人，連續一百天，這有五百萬人了，也不是沒可能的事,8
烏鴉嘴阿北,4
先知,5
騙人的吧,8
都玩不就好了,8
卡前排,3
輸贏,8
噁男,4
這速度也太扯,5
我不信仰任何政治人物,8
我只信仰民主,3
勇者,5
是無懈可擊的論點,5
應該說賤畜,4
當狗罵又怎樣？至少狗還聽得懂人話，至於那些連人話都聽不懂的高官們就...？,8
 有做的事不會承擔，只會時空背景不同之術,8
狗也是有尊嚴的好嗎,8
笑死 電燈泡你連狗狗都不如 狗狗起碼會忠誠,8
我的認知是自由是建立在不侵犯他人的權利之上,8
可是賤種一直在侵犯我們 但只有牠們自由,8
能随便侵犯他人權利的自由算個屁的自由,8
自由不代表你可以為所欲為 而是代表你不用身不由己,7
啥？？？ 不好意思太神邏輯了,8
笑死 有夠中二,8
自由不是無法無天，是遵循著自己的規則而活,3
水很深,8
台灣學校到底在教什麼啊,3
55555555,1
 耍白癡,4
禿,8
一刀殺進去,8
領域展開???,3
真的假的,3
哇靠有刀啊,3
cap好像吸毒,8
牙寧本人,5
黑武士,3
綜藝戰隊,8
史上最強動粉,5
好像痘痘先生,2
一刀流湯,3
好滑好嫩,5
力量人,3
開犽凝開砍,2
歐洲動粉,2
垃圾羅技,4
暴雷,9
帥到,5
 台主帶頭暴雷,8
偷摸,8
哥哥有機會出場吧,3
caps開扁,5
為什麼配樂都那麼死人,8
要去找韓國老婆了沒？,3
盤口快開阿 ,3
CAPS真的很強,5
好帥,5
sup搞自閉,8
送終音樂,8
兇,8
輔助長的好甲,8
真的一臉甲,8
 這音樂是有人死了是不是,8
請問g2亞洲分部是瘋狗娛樂嗎 ,8
C8,4
好正\\,5
好漂亮,5
老爸很會喔,5
有夠像西索米,3
NMSL,4
哭了,1
開噴,8
下去囉,8
討論怎麼0-4,8
被打到失智==,8
加油打氣,5
定存局,3
買機票回家,8
 各位準備好 回家了嘛 記得把飯店能搜括的東西 全拿走,8
再輸就代購,8
討論晚餐吃啥嗎,3
失智 ,4
今年的歌真的好難聽 ,8
 這什麼鬼歌,8
一堆中國腦攤,4
壓力山大,9
最強組合,5
放大招,3
海嘯了,3
絕活了嗎,3
水鬼,4
兩個字 大中計,1
獎勵一把,5
開秀一把,5
非常好,5
 感覺G2想要故意送一局,3
歹勢？,8
好了啦跳針豬,8
好了啦,3
 你沒有哥哥==,8
到讚國動,3
拍謝不是對不起,8
統神是誰 國動是誰,8
學,3
確實,6
拍個屁 又沒領錢,8
發病,8
你會阿,8
本人,6
7414,4
可能阿,6
有,6
別提到前哥哥好嗎 ,8
 國勳太瓜張了吧,0
你這麼情緒化,8
繼續講要被告了,8
現在不是了,7
是前哥哥,8
免費欸 幫你拍欸 靠北喔,8
陌生人,1
背骨仔 傻逼國動 ,4
 都符合你的人設阿,8
0,7
不是,7
笑死 你的觀眾真的是白爛,8
宅必了,4
阿行之聲哩,3
異世界性愛社團,3
看你媽機掰,4
 魯蛇,4
好了啦動粉,8
豬嚎,4
異世界的豬 ,4
從今以後沒有哥哥的阿統,8
可悲,4
大概是這樣啦,3
 你又不敢道歉,8
少一個哥哥也不會怎樣,8
打豬臉,4
全部,3
豬叫,4
腦完羞了嗎,8
跳完針了嗎 ,8
好了啦,8
檢舉他,8
偷看,8
告他,8
呱呱,8
陌生人,1
版權泡,8
中毒,8
蒐證,3
 真的看不出來,6
真的,6
被哥哥電爆,8
挖礦,1
好了拉 再講你老哥也不會回來,8
做好你自己的事情 別再管其他人了,8
糖尿人，我的超人,5
認輸==,8
 學,8
